Ativo;ADF_Preco_Stat;ADF_Preco_p;ADF_Retorno_Stat;ADF_Retorno_p;KPSS_Retorno_Stat;KPSS_Retorno_p;JarqueBera_Stat;JarqueBera_p;ARCH_LM_Stat;ARCH_LM_p;LjungBox_Stat;LjungBox_p;VarianceRatio;VarianceRatio_p;IQR;Outliers_Pct;Chow_Media_Crise_BR_2015_stat;Chow_Media_Crise_BR_2015_p;Chow_Var_Crise_BR_2015_stat;Chow_Var_Crise_BR_2015_p;Chow_Media_Impeachment_2016_stat;Chow_Media_Impeachment_2016_p;Chow_Var_Impeachment_2016_stat;Chow_Var_Impeachment_2016_p;Chow_Media_COVID_2020_stat;Chow_Media_COVID_2020_p;Chow_Var_COVID_2020_stat;Chow_Var_COVID_2020_p;Chow_Media_Juros_2022_stat;Chow_Media_Juros_2022_p;Chow_Var_Juros_2022_stat;Chow_Var_Juros_2022_p
BBDC3;-1,824235949703714;0,3684973217829485;-23,63008323899036;0,0;0,03953927161026298;0,1;8825,72866396817;0,0;475,34211050195717;8,162176209775916e-96;25,64331148928602;0,004250718248159646;0,9090563965863272;0,008945386833461244;0,0214887176256415;3,580433686333838;0,2518756720034865;0,8011564135580269;3,7009885085473546;0,054451768617468255;0,24465699659172718;0,8067366507613367;4,17520378066053e-06;0,9983697612652511;0,5893491181983224;0,5556752355767687;0,20220515932085517;0,652971348347147;0,08542776501970983;0,9319293800577079;56,66394612537393;6,363369055769445e-14
BBDC4;-1,5259864868361988;0,520619279430969;-18,07536561054763;2,5966171238297802e-30;0,0332046799544696;0,1;12087,077405010108;0,0;444,89363264627906;2,5651519536717645e-89;33,156790437053054;0,00025634170654333094;0,907031189739812;0,007532249395874935;0,02195144141364725;3,5552193645990924;0,03406479516234018;0,9728278862367261;9,725978037729533;0,0018298493512355594;0,20229259822210224;0,839699752917722;0,0209675649074534;0,8848747126150253;0,5006475066418177;0,6166610918213928;1,7749218031316516;0,18285072240562802;0,04561735677183611;0,9636199805295912;28,86516968120775;8,205466495173715e-08
BEEF3;-3,0780045672409333;0,028224353048116595;-43,564480989122785;0,0;0,07397319038348336;0,1;5993,09929451481;0,0;436,42556434207813;1,639455489701888e-87;10,672643275917983;0,3835841825195646;1,0190856589024049;0,5832738374791684;0,026890320872318088;3,8577912254160367;0,6725364135383504;0,5012952587415195;22,457484501039712;2,223807316544565e-06;0,734293034410816;0,4628166349896255;12,170022533258734;0,0004909190114953998;0,609518363331607;0,5422371334494519;38,04191950548491;7,617290395162851e-10;0,6643956728568083;0,50653497690577;12,268956265263512;0,00046564132577112675
BEES3;1,1372491578227588;0,995522320401416;-25,022436885976138;0,0;0,2232373540749548;0,1;385793,86892004043;0,0;102,46279907072667;1,7497670997515728e-17;171,25284835306857;1,5263681633173846e-31;0,6904761520264305;0,0;0,014553670548276384;9,329299041855773;1,3681197955696278;0,17145659848529637;90,14678487139854;3,704851562779836e-21;1,5065403943051963;0,13206249580526952;89,56760450949746;4,932755282556681e-21;0,05135773015438687;0,9590430651555266;160,78569666414603;3,802729684142628e-36;1,1588971806720625;0,24657874147149914;123,23422609609702;3,2159247531022396e-28
BRAP3;-0,07571681111247182;0,9518041593805417;-16,95503591975244;9,399397679629757e-30;0,3236202997209061;0,1;12629,950633329732;0,0;221,9724305690718;4,1300602901199844e-42;35,13434041898679;0,00011844197530767341;0,8999977760179535;0,004046416318402413;0,02559206321481801;4,362077660110943;2,06827968908123;0,038705089572813746;10,88378975275543;0,000978662907751226;2,898642730268491;0,0037732916399206167;7,0406709058726324;0,007999712871530831;0,8458603628467296;0,3976874788133695;53,05646624814764;3,89008057841917e-13;0,06436781054781976;0,9486820040857463;109,60661243289132;2,5490527433214903e-25
BRAP4;-0,3190274093974772;0,9227659160868907;-9,905565317930817;3,2705861004627236e-17;0,2448334935516012;0,1;9157,16683632786;0,0;290,43976144225485;1,6283380802603112e-56;26,535244481358397;0,003083241126716262;0,9959114647189028;0,9064454866947684;0,025317260458552277;4,841149773071105;1,870023686417712;0,06157525765309241;39,51462231684167;3,6084141152699706e-10;2,7454442584111978;0,006076242188326964;2,256700002107233;0,13311694062994625;0,8273693158953591;0,4080834261873019;48,76411730546883;3,370079905566201e-12;0,1442752452258984;0,885293732383764;107,44773004847468;7,358849947611257e-25
BRKM3;-1,5635656717794744;0,5018652379042328;-23,09917604988285;0,0;0,3346141762048387;0,1;8442,869785979956;0,0;286,55831935439755;1,0749322212030878e-55;17,687168114278293;0,06047559542361751;0,9657779643924772;0,32526426113448914;0,027486456213438107;4,992435703479576;0,06672946086544997;0,9468018512950672;19,885419128516688;8,450183541124509e-06;0,7799074421507732;0,4354988796281924;3,156338918036487;0,0757092996281407;1,4238230449628322;0,15461494752913144;21,39169668188463;3,863321692135533e-06;2,602505145174178;0,009333908931874434;2,461357925525627;0,11675768862592768
BRKM5;-1,6407757076896639;0,4618554917339804;-18,799719447334198;2,0229316905249596e-30;0,27315935856919576;0,1;29050,694050881706;0,0;602,1026227394743;6,240466406274847e-123;29,442260425134847;0,0010562574848672786;1,041961520291243;0,22775363141396587;0,02892249482628033;4,53857791225416;0,45091295158628086;0,652081581111825;44,8756426486099;2,3949125397883708e-11;0,7965588941902891;0,42575711036321734;17,32283210329279;3,220701924076032e-05;1,0499889132341658;0,29383688076438297;86,86422442939568;1,878056990258888e-20;2,3162881318479323;0,020666001937610368;11,24085499059035;0,0008076665389126376
BRSR6;-1,4760483133383147;0,5453248797575915;-16,519707768307754;2,0696376201704294e-29;0,05369860022415363;0,1;3689,68574517237;0,0;319,7519276404754;1,0294518542285078e-62;40,272285822598214;1,5172329337068785e-05;0,9191907394878521;0,02018844705956857;0,026646822994915748;3,6056480080685827;0,17826479338162352;0,8585305216516973;10,999774305011382;0,0009194373952864054;0,8723395647841701;0,38309497711876267;68,21178118121003;1,979427074025418e-16;0,17060783111182107;0,8645418139766425;95,03409075254427;3,3171186519206485e-22;0,976259968459531;0,32902471923157234;138,45419658875306;1,9223198927220453e-31
CGAS5;-0,4485145477225662;0,901678050503529;-11,418468814074929;6,967657077942272e-21;0,0892134141049457;0,1;47080,77943971433;0,0;498,1572195380921;1,0931280739750115e-100;66,33011757718566;2,254403360273887e-10;0,8907960957168544;0,0016951463413887868;0,015235248834983455;6,984367120524458;0,6602453225146219;0,5091376065703236;46,93874555715198;8,455860691027996e-12;0,67827597265626;0,4976363693887463;31,27694699532431;2,3880565541718546e-08;1,7894040619895493;0,07366074315388231;1,1952595541096347;0,27433763691489815;1,1111618693986482;0,2666389414154221;13,202317131290062;0,0002831463389312066
