estrategia,data,ticker,peso
EqualWeight,2018-11-01,LIGT3,0.007634
EqualWeight,2018-11-01,LOGN3,0.007634
EqualWeight,2018-11-01,LPSB3,0.007634
EqualWeight,2018-11-01,LREN3,0.007634
EqualWeight,2018-11-01,LUPA3,0.007634
EqualWeight,2018-11-01,MBRF3,0.007634
EqualWeight,2018-11-01,MDIA3,0.007634
EqualWeight,2018-11-01,MOTV3,0.007634
EqualWeight,2018-11-01,MRVE3,0.007634
EqualWeight,2018-11-01,MULT3,0.007634
EqualWeight,2018-11-01,MYPK3,0.007634
EqualWeight,2018-11-01,NATU3,0.007634
EqualWeight,2018-11-01,NEXP3,0.007634
EqualWeight,2018-11-01,ODPV3,0.007634
EqualWeight,2018-11-01,OIBR3,0.007634
EqualWeight,2018-11-01,OIBR4,0.007634
EqualWeight,2018-11-01,PDGR3,0.007634
EqualWeight,2018-11-01,PDTC3,0.007634
EqualWeight,2018-11-01,PETR3,0.007634
EqualWeight,2018-11-01,PETR4,0.007634
EqualWeight,2018-11-01,PFRM3,0.007634
EqualWeight,2018-11-01,PINE4,0.007634
EqualWeight,2018-11-01,PMAM3,0.007634
EqualWeight,2018-11-01,POMO3,0.007634
EqualWeight,2018-11-01,POMO4,0.007634
EqualWeight,2018-11-01,POSI3,0.007634
EqualWeight,2018-11-01,PSSA3,0.007634
EqualWeight,2018-11-01,PTBL3,0.007634
EqualWeight,2018-11-01,RADL3,0.007634
EqualWeight,2018-11-01,RAPT4,0.007634
EqualWeight,2018-11-01,RCSL4,0.007634
EqualWeight,2018-11-01,RDNI3,0.007634
EqualWeight,2018-11-01,RENT3,0.007634
EqualWeight,2018-11-01,RIAA3,0.007634
EqualWeight,2018-11-01,ROMI3,0.007634
EqualWeight,2018-11-01,RPMG3,0.007634
EqualWeight,2018-11-01,RSID3,0.007634
EqualWeight,2018-11-01,SANB11,0.007634
EqualWeight,2018-11-01,SANB3,0.007634
EqualWeight,2018-11-01,SANB4,0.007634
EqualWeight,2018-11-01,SAPR4,0.007634
EqualWeight,2018-11-01,SBSP3,0.007634
EqualWeight,2018-11-01,SCAR3,0.007634
EqualWeight,2018-11-01,SHUL4,0.007634
EqualWeight,2018-11-01,SLCE3,0.007634
EqualWeight,2018-11-01,SMTO3,0.007634
EqualWeight,2018-11-01,TASA4,0.007634
EqualWeight,2018-11-01,TCSA3,0.007634
EqualWeight,2018-11-01,TELB4,0.007634
EqualWeight,2018-11-01,TGMA3,0.007634
EqualWeight,2018-11-01,TIMS3,0.007634
EqualWeight,2018-11-01,TOTS3,0.007634
EqualWeight,2018-11-01,TPIS3,0.007634
EqualWeight,2018-11-01,TRIS3,0.007634
EqualWeight,2018-11-01,TUPY3,0.007634
EqualWeight,2018-11-01,UNIP6,0.007634
EqualWeight,2018-11-01,USIM3,0.007634
EqualWeight,2018-11-01,USIM5,0.007634
EqualWeight,2018-11-01,VALE3,0.007634
EqualWeight,2018-11-01,VIVR3,0.007634
EqualWeight,2018-11-01,VIVT3,0.007634
EqualWeight,2018-11-01,VLID3,0.007634
EqualWeight,2018-11-01,VSTE3,0.007634
EqualWeight,2018-11-01,WEGE3,0.007634
EqualWeight,2018-11-01,WHRL4,0.007634
EqualWeight,2018-11-01,YDUQ3,0.007634
EqualWeight,2018-12-03,ABCB4,0.007634
EqualWeight,2018-12-03,ABEV3,0.007634
EqualWeight,2018-12-03,AGRO3,0.007634
EqualWeight,2018-12-03,ALPA4,0.007634
EqualWeight,2018-12-03,AMAR3,0.007634
EqualWeight,2018-12-03,AMER3,0.007634
EqualWeight,2018-12-03,AXIA3,0.007634
EqualWeight,2018-12-03,AXIA6,0.007634
EqualWeight,2018-12-03,B3SA3,0.007634
EqualWeight,2018-12-03,BBAS3,0.007634
EqualWeight,2018-12-03,BBDC3,0.007634
EqualWeight,2018-12-03,BBDC4,0.007634
EqualWeight,2018-12-03,BEEF3,0.007634
EqualWeight,2018-12-03,BEES3,0.007634
EqualWeight,2018-12-03,BRAP3,0.007634
EqualWeight,2018-12-03,BRAP4,0.007634
EqualWeight,2018-12-03,BRKM3,0.007634
EqualWeight,2018-12-03,BRKM5,0.007634
EqualWeight,2018-12-03,BRSR6,0.007634
EqualWeight,2018-12-03,CGAS5,0.007634
EqualWeight,2018-12-03,CLSC4,0.007634
EqualWeight,2018-12-03,CMIG3,0.007634
EqualWeight,2018-12-03,CMIG4,0.007634
EqualWeight,2018-12-03,COCE5,0.007634
EqualWeight,2018-12-03,CPFE3,0.007634
EqualWeight,2018-12-03,CPLE3,0.007634
EqualWeight,2018-12-03,CSAN3,0.007634
EqualWeight,2018-12-03,CSMG3,0.007634
EqualWeight,2018-12-03,CSNA3,0.007634
EqualWeight,2018-12-03,CSUD3,0.007634
EqualWeight,2018-12-03,CYRE3,0.007634
EqualWeight,2018-12-03,DIRR3,0.007634
EqualWeight,2018-12-03,DXCO3,0.007634
EqualWeight,2018-12-03,EGIE3,0.007634
EqualWeight,2018-12-03,EMBJ3,0.007634
EqualWeight,2018-12-03,ENEV3,0.007634
EqualWeight,2018-12-03,EQTL3,0.007634
EqualWeight,2018-12-03,ETER3,0.007634
EqualWeight,2018-12-03,EUCA4,0.007634
EqualWeight,2018-12-03,EVEN3,0.007634
EqualWeight,2018-12-03,EZTC3,0.007634
EqualWeight,2018-12-03,FESA4,0.007634
EqualWeight,2018-12-03,FHER3,0.007634
EqualWeight,2018-12-03,FICT3,0.007634
EqualWeight,2018-12-03,FLRY3,0.007634
EqualWeight,2018-12-03,GFSA3,0.007634
EqualWeight,2018-12-03,GGBR3,0.007634
EqualWeight,2018-12-03,GGBR4,0.007634
EqualWeight,2018-12-03,GOAU3,0.007634
