data,ibov_ret_simples,ibov_ret_log
2011-10-07,-0.02001803,-0.02022110
2011-10-10,0.03960474,0.03884058
2011-10-11,0.01061248,0.01055657
2011-10-13,0.01416459,0.01406521
2011-10-14,0.00786395,0.00783319
2011-10-17,-0.02033638,-0.02054601
2011-10-18,0.02078598,0.02057290
2011-10-19,-0.00119567,-0.00119638
2011-10-20,-0.01739526,-0.01754833
2011-10-21,0.02305592,0.02279415
2011-10-24,0.02962145,0.02919121
2011-10-25,-0.01065142,-0.01070855
2011-10-26,0.01524003,0.01512506
2011-10-27,0.03721034,0.03653475
2011-10-28,0.00409987,0.00409149
2011-10-31,-0.01973917,-0.01993659
2011-11-01,-0.01740946,-0.01756279
2011-11-03,0.01523915,0.01512420
2011-11-04,0.00813832,0.00810538
2011-11-07,0.00901399,0.00897361
2011-11-08,-0.00291628,-0.00292054
2011-11-09,-0.02501248,-0.02533061
2011-11-10,-0.00396057,-0.00396844
2011-11-11,0.02137337,0.02114816
2011-11-14,-0.00493177,-0.00494397
2011-11-16,0.00517970,0.00516633
2011-11-17,-0.02682873,-0.02719519
2011-11-18,-0.00451948,-0.00452972
2011-11-21,-0.00787484,-0.00790601
2011-11-22,-0.00721601,-0.00724217
2011-11-23,-0.01622021,-0.01635320
2011-11-24,0.00559921,0.00558359
2011-11-25,-0.00697161,-0.00699603
2011-11-28,0.02045488,0.02024848
2011-11-29,-0.01281014,-0.01289290
2011-11-30,0.02848511,0.02808696
2011-12-01,0.02230225,0.02205719
2011-12-02,-0.00442991,-0.00443975
2011-12-05,0.01770087,0.01754604
2011-12-06,0.01062086,0.01056486
2011-12-07,-0.01466890,-0.01477755
2011-12-08,-0.02058902,-0.02080393
2011-12-09,0.01360090,0.01350924
2011-12-12,-0.01527565,-0.01539353
2011-12-13,0.00258061,0.00257729
2011-12-14,-0.01474880,-0.01485864
2011-12-15,-0.00557348,-0.00558907
2011-12-16,-0.00415791,-0.00416658
2011-12-19,-0.01423607,-0.01433838
2011-12-20,0.02832852,0.02793469
2011-12-21,-0.00371899,-0.00372593
2011-12-22,0.01225876,0.01218423
2011-12-23,0.00615890,0.00614002
2011-12-26,-0.00054748,-0.00054763
2011-12-27,0.00582145,0.00580457
2011-12-28,-0.02536738,-0.02569468
2011-12-29,0.00389714,0.00388957
2012-01-02,0.01894472,0.01876750
2012-01-03,0.02482480,0.02452167
2012-01-04,0.00168869,0.00168727
2012-01-05,-0.01379383,-0.01388985
2012-01-06,0.00092730,0.00092687
2012-01-09,0.00823391,0.00820019
2012-01-10,0.01223840,0.01216412
2012-01-11,0.00261579,0.00261238
2012-01-12,-0.00069410,-0.00069434
2012-01-13,-0.01292039,-0.01300459
2012-01-16,0.01369276,0.01359986
2012-01-17,0.01149901,0.01143340
2012-01-18,0.01775817,0.01760233
2012-01-19,0.00330234,0.00329690
2012-01-20,0.00622413,0.00620484
2012-01-23,0.00118934,0.00118863
2012-01-24,0.00160260,0.00160131
2012-01-26,0.00747109,0.00744332
2012-01-27,-0.00077613,-0.00077644
2012-01-30,-0.00213324,-0.00213552
2012-01-31,0.00481599,0.00480443
2012-02-01,0.02370089,0.02342439
2012-02-02,0.00040144,0.00040136
2012-02-03,0.00966465,0.00961825
2012-02-06,0.00009737,0.00009736
2012-02-07,0.01062957,0.01057347
2012-02-08,-0.00130255,-0.00130340
2012-02-09,-0.00456729,-0.00457775
2012-02-10,-0.02338804,-0.02366589
2012-02-13,0.02646448,0.02612035
2012-02-14,-0.00994040,-0.00999013
2012-02-15,0.00507330,0.00506047
2012-02-16,0.01182848,0.01175907
2012-02-17,0.00093436,0.00093392
2012-02-22,-0.00167257,-0.00167397
2012-02-23,-0.00413283,-0.00414139
2012-02-24,0.00187041,0.00186867
2012-02-27,-0.01063408,-0.01069102
2012-02-28,0.01099438,0.01093439
2012-02-29,-0.00222942,-0.00223191
2012-03-01,0.01516553,0.01505169
2012-03-02,0.01454577,0.01444100
2012-03-05,-0.01206183,-0.01213516
2012-03-06,-0.02762498,-0.02801373
2012-03-07,0.01386196,0.01376677
2012-03-08,0.01350612,0.01341572
2012-03-09,-0.00305537,-0.00306005
2012-03-12,-0.00478532,-0.00479681
2012-03-13,0.03027156,0.02982241
2012-03-14,-0.00200470,-0.00200671
2012-03-15,-0.00743848,-0.00746628
2012-03-16,-0.00096473,-0.00096520
2012-03-19,0.00068229,0.00068205
2012-03-20,-0.00641884,-0.00643953
2012-03-21,-0.00647160,-0.00649263
2012-03-22,-0.01543313,-0.01555346
2012-03-23,-0.00023151,-0.00023154
2012-03-26,0.01324420,0.01315726
2012-03-27,-0.00970599,-0.00975340
2012-03-28,-0.01450709,-0.01461335
2012-03-29,-0.00318611,-0.00319120
2012-03-30,-0.00556511,-0.00558066
2012-04-02,0.01093271,0.01087338
2012-04-03,-0.01429076,-0.01439386
2012-04-04,-0.01175420,-0.01182383
2012-04-05,0.00255837,0.00255511
2012-04-09,-0.01205771,-0.01213100
2012-04-10,-0.01883137,-0.01901093
2012-04-11,-0.00721011,-0.00723623
2012-04-12,0.02879376,0.02838701
2012-04-13,-0.01510356,-0.01521878
2012-04-16,-0.00243215,-0.00243511
2012-04-17,0.01201397,0.01194237
2012-04-18,0.00496995,0.00495764
2012-04-19,-0.00622230,-0.00624174
2012-04-20,-0.00198552,-0.00198749
2012-04-23,-0.01527665,-0.01539454
2012-04-24,0.00701600,0.00699150
2012-04-25,-0.00356230,-0.00356866
2012-04-26,0.00724983,0.00722368
